medicine_name,authorisation_no,pharmaceutical_form_lv,active_substance,Aizliegts ārpus sacensībām,Aizliegts sacensību laikā,Aizliegto vielu un metožu saraksta klase,Piezīmes par lietošanu,"Sporta veidi, kuros aizliegts sacensību laikā","Sporta veidi, kuros aizliegts ārpus sacensībām",Notes,Prohibited In-Competition in the following sports,Prohibited Out-of-Competition in the following sports
Hirobriz Breezhaler,EU/1/09/594/008,Inhalācijas pulveris cietā kapsulā,Indacaterolum,Jā,Jā,S3,,,,,,
Hirobriz Breezhaler,EU/1/09/594/009,Inhalācijas pulveris cietā kapsulā,Indacaterolum,Jā,Jā,S3,,,,,,
Hirobriz Breezhaler,EU/1/09/594/010,Inhalācijas pulveris cietā kapsulā,Indacaterolum,Jā,Jā,S3,,,,,,
Ultibro Breezhaler,EU/1/13/862/001,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Ultibro Breezhaler,EU/1/13/862/002,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Ultibro Breezhaler,EU/1/13/862/003,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Ultibro Breezhaler,EU/1/13/862/004,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Ultibro Breezhaler,EU/1/13/862/005,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Ultibro Breezhaler,EU/1/13/862/006,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Ultibro Breezhaler,EU/1/13/862/007,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Ultibro Breezhaler,EU/1/13/862/008,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Xoterna Breezhaler,EU/1/13/863/001,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Xoterna Breezhaler,EU/1/13/863/002,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Xoterna Breezhaler,EU/1/13/863/003,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Xoterna Breezhaler,EU/1/13/863/004,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Xoterna Breezhaler,EU/1/13/863/005,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Xoterna Breezhaler,EU/1/13/863/006,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Xoterna Breezhaler,EU/1/13/863/007,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Xoterna Breezhaler,EU/1/13/863/008,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Ulunar Breezhaler,EU/1/14/917/001,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Ulunar Breezhaler,EU/1/14/917/002,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Ulunar Breezhaler,EU/1/14/917/003,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Ulunar Breezhaler,EU/1/14/917/004,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Ulunar Breezhaler,EU/1/14/917/005,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Ulunar Breezhaler,EU/1/14/917/006,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Ulunar Breezhaler,EU/1/14/917/007,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Ulunar Breezhaler,EU/1/14/917/008,Inhalācijas pulveris cietā kapsulā,"Indacaterolum, Glycopyrronii bromidum",Jā,Jā,S3,,,,,,
Ventolin sīrups,I000508,Sīrups,Salbutamolum,Jā,Jā,S3,,,,,,
Ventolin sīrups,I000903,Sīrups,Salbutamolum,Jā,Jā,S3,,,,,,
Enerzair Breezhaler,EU/1/20/1438/001,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Glycopyrronium, Mometasoni furoas",Jā,Jā,"S3, S9","Visi glikokortikoīdi ir aizliegti sacensību laikā, ja tos lieto orālā (ieskaitot oromukozālā), injicējamā vai rektālā ievadīšanas ceļā",,,"All glucocorticoids are prohibited In-Competition when administered by oral (including oromucosal), injectable or rectal routes",,
Enerzair Breezhaler,EU/1/20/1438/002,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Glycopyrronium, Mometasoni furoas",Jā,Jā,"S3, S9","Visi glikokortikoīdi ir aizliegti sacensību laikā, ja tos lieto orālā (ieskaitot oromukozālā), injicējamā vai rektālā ievadīšanas ceļā",,,"All glucocorticoids are prohibited In-Competition when administered by oral (including oromucosal), injectable or rectal routes",,
Enerzair Breezhaler,EU/1/20/1438/003,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Glycopyrronium, Mometasoni furoas",Jā,Jā,"S3, S9","Visi glikokortikoīdi ir aizliegti sacensību laikā, ja tos lieto orālā (ieskaitot oromukozālā), injicējamā vai rektālā ievadīšanas ceļā",,,"All glucocorticoids are prohibited In-Competition when administered by oral (including oromucosal), injectable or rectal routes",,
Enerzair Breezhaler,EU/1/20/1438/004,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Glycopyrronium, Mometasoni furoas",Jā,Jā,"S3, S9","Visi glikokortikoīdi ir aizliegti sacensību laikā, ja tos lieto orālā (ieskaitot oromukozālā), injicējamā vai rektālā ievadīšanas ceļā",,,"All glucocorticoids are prohibited In-Competition when administered by oral (including oromucosal), injectable or rectal routes",,
Enerzair Breezhaler,EU/1/20/1438/005,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Glycopyrronium, Mometasoni furoas",Jā,Jā,"S3, S9","Visi glikokortikoīdi ir aizliegti sacensību laikā, ja tos lieto orālā (ieskaitot oromukozālā), injicējamā vai rektālā ievadīšanas ceļā",,,"All glucocorticoids are prohibited In-Competition when administered by oral (including oromucosal), injectable or rectal routes",,
Atectura Breezhaler,EU/1/20/1439/001,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Atectura Breezhaler,EU/1/20/1439/002,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Atectura Breezhaler,EU/1/20/1439/003,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Atectura Breezhaler,EU/1/20/1439/004,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Atectura Breezhaler,EU/1/20/1439/005,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Atectura Breezhaler,EU/1/20/1439/006,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Atectura Breezhaler,EU/1/20/1439/007,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Atectura Breezhaler,EU/1/20/1439/008,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Atectura Breezhaler,EU/1/20/1439/009,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Atectura Breezhaler,EU/1/20/1439/010,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Atectura Breezhaler,EU/1/20/1439/011,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Atectura Breezhaler,EU/1/20/1439/012,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Zimbus Breezhaler,EU/1/20/1440/001,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Glycopyrronium, Mometasoni furoas",Jā,Jā,"S3, S9","Visi glikokortikoīdi ir aizliegti sacensību laikā, ja tos lieto orālā (ieskaitot oromukozālā), injicējamā vai rektālā ievadīšanas ceļā",,,"All glucocorticoids are prohibited In-Competition when administered by oral (including oromucosal), injectable or rectal routes",,
Zimbus Breezhaler,EU/1/20/1440/002,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Glycopyrronium, Mometasoni furoas",Jā,Jā,"S3, S9","Visi glikokortikoīdi ir aizliegti sacensību laikā, ja tos lieto orālā (ieskaitot oromukozālā), injicējamā vai rektālā ievadīšanas ceļā",,,"All glucocorticoids are prohibited In-Competition when administered by oral (including oromucosal), injectable or rectal routes",,
Zimbus Breezhaler,EU/1/20/1440/003,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Glycopyrronium, Mometasoni furoas",Jā,Jā,"S3, S9","Visi glikokortikoīdi ir aizliegti sacensību laikā, ja tos lieto orālā (ieskaitot oromukozālā), injicējamā vai rektālā ievadīšanas ceļā",,,"All glucocorticoids are prohibited In-Competition when administered by oral (including oromucosal), injectable or rectal routes",,
Zimbus Breezhaler,EU/1/20/1440/004,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Glycopyrronium, Mometasoni furoas",Jā,Jā,"S3, S9","Visi glikokortikoīdi ir aizliegti sacensību laikā, ja tos lieto orālā (ieskaitot oromukozālā), injicējamā vai rektālā ievadīšanas ceļā",,,"All glucocorticoids are prohibited In-Competition when administered by oral (including oromucosal), injectable or rectal routes",,
Zimbus Breezhaler,EU/1/20/1440/005,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Glycopyrronium, Mometasoni furoas",Jā,Jā,"S3, S9","Visi glikokortikoīdi ir aizliegti sacensību laikā, ja tos lieto orālā (ieskaitot oromukozālā), injicējamā vai rektālā ievadīšanas ceļā",,,"All glucocorticoids are prohibited In-Competition when administered by oral (including oromucosal), injectable or rectal routes",,
Bemrist Breezhaler,EU/1/20/1441/001,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Bemrist Breezhaler,EU/1/20/1441/002,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Bemrist Breezhaler,EU/1/20/1441/003,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Bemrist Breezhaler,EU/1/20/1441/004,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Bemrist Breezhaler,EU/1/20/1441/005,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Bemrist Breezhaler,EU/1/20/1441/006,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Bemrist Breezhaler,EU/1/20/1441/007,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Bemrist Breezhaler,EU/1/20/1441/008,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Bemrist Breezhaler,EU/1/20/1441/009,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Bemrist Breezhaler,EU/1/20/1441/010,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Bemrist Breezhaler,EU/1/20/1441/011,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Bemrist Breezhaler,EU/1/20/1441/012,"Inhalācijas pulveris, cietā kapsula","Indacaterolum, Mometasoni furoas",Jā,Jā,"S3, S9",,,,,,
Clostilbegyt 50 mg tabletes,01-0312,Tabletes,Clomipheni citras,Jā,Jā,S4,,,,,,
Preductal MR 35 mg modificētas darbības apvalkotās tabletes,03-0064,Ilgstošās darbības apvalkotās tabletes,Trimetazidini dihydrochloridum,Jā,Jā,S4,,,,,,
Trimetazidine MR Servier 35 mg modificētas darbības apvalkotās tabletes,03-0065,Ilgstošās darbības apvalkotās tabletes,Trimetazidini dihydrochloridum,Jā,Jā,S4,,,,,,
Tamoxifen Orion 20 mg tabletes,03-0191,Tabletes,Tamoxifenum,Jā,Jā,S4,,,,,,
Anastrozole-Teva 1 mg apvalkotās tabletes,07-0287,Apvalkotās tabletes,Anastrozolum,Jā,Jā,S4,,,,,,
Anastrozole SanoSwiss 1 mg apvalkotās tabletes,07-0289,Apvalkotās tabletes,Anastrozolum,Jā,Jā,S4,,,,,,
Axastrol 1 mg apvalkotās tabletes,08-0197,Apvalkotās tabletes,Anastrozolum,Jā,Jā,S4,,,,,,
Anastrozole Accord 1 mg apvalkotās tabletes,08-0336,Apvalkotās tabletes,Anastrozolum,Jā,Jā,S4,,,,,,
"Letrozole SanoSwiss 2,5 mg apvalkotās tabletes",09-0021,Apvalkotās tabletes,Letrozolum,Jā,Jā,S4,,,,,,
"Letrozole Teva 2,5 mg apvalkotās tabletes",10-0160,Apvalkotās tabletes,Letrozolum,Jā,Jā,S4,,,,,,
Meldonium Olainfarm 250 mg cietās kapsulas,10-0216,Cietās kapsulas,Meldonium,Jā,Jā,S4,,,,,,
Exemestane Accord 25 mg apvalkotās tabletes,10-0305,Apvalkotās tabletes,Exemestanum,Jā,Jā,S4,,,,,,
Exemestane Alvogen 25 mg apvalkotās tabletes,10-0319,Apvalkotās tabletes,Exemestanum,Jā,Jā,S4,,,,,,
Escepran 25 mg apvalkotās tabletes,10-0321,Apvalkotās tabletes,Exemestanum,Jā,Jā,S4,,,,,,
Meldonium Olainfarm 100 mg/ml šķīdums injekcijām,10-0376,Šķīdums injekcijām,Meldonium,Jā,Jā,S4,,,,,,
Trimetazidine Actavis 35 mg ilgstošās darbības tabletes,10-0390,Ilgstošās darbības tabletes,Trimetazidini dihydrochloridum,Jā,Jā,S4,,,,,,
Trimetazidine Teva 35 mg ilgstošās darbības tabletes,10-0639,Ilgstošās darbības tabletes,Trimetazidini dihydrochloridum,Jā,Jā,S4,,,,,,
Exemestane SanoSwiss 25 mg apvalkotās tabletes,11-0045,Apvalkotās tabletes,Exemestanum,Jā,Jā,S4,,,,,,
Meldonium Olainfarm 250 mg kapsulas,11-0172,Kapsulas,Meldonium,Jā,Jā,S4,,,,,,
Moduxin 35 mg ilgstošās darbības tabletes,11-0503,Ilgstošās darbības tabletes,Trimetazidini dihydrochloridum,Jā,Jā,S4,,,,,,
Mildronāts 500 mg tabletes,12-0316,Tabletes,Meldonium,Jā,Jā,S4,,,,,,
"Likarda 2,5 mg apvalkotās tabletes",12-0325,Apvalkotās tabletes,Letrozolum,Jā,Jā,S4,,,,,,
Meldonium Olainfarm 500 mg cietās kapsulas,15-0055,Cietās kapsulas,Meldonium,Jā,Jā,S4,,,,,,
Fulvestrant Teva 250 mg šķīdums injekcijām pilnšļircē,16-0084,Šķīdums injekcijām pilnšļircē,Fulvestrantum,Jā,Jā,S4,,,,,,
Humulin R 100 SV/ml šķīdums injekcijām kārtridžā,18-0012,Šķīdums injekcijām kārtridžā,Insulinum humanum,Jā,Jā,S4,,,,,,
Humulin N 100 SV/ml suspensija injekcijām kārtridžā,18-0013,Suspensija injekcijām kārtridžā,Insulinum humanum,Jā,Jā,S4,,,,,,
Humulin N KwikPen 100 SV/ml suspensija injekcijām pildspalvveida pilnšļircē,18-0014,Suspensija injekcijām pildspalvveida pilnšļircē,Insulinum humanum,Jā,Jā,S4,,,,,,
Fulvestrant Accord 250 mg šķīdums injekcijām pilnšļircē,19-0030,Šķīdums injekcijām pilnšļircē,Fulvestrantum,Jā,Jā,S4,,,,,,
Anastrozole Elvim 1 mg apvalkotās tabletes,21-0202,Apvalkotā tablete,Anastrozolum,Jā,Jā,S4,,,,,,
Fulvestrant Stada 250 mg šķīdums injekcijām pilnšļircē,22-0082,Šķīdums injekcijām pilnšļircē,Fulvestrantum,Jā,Jā,S4,,,,,,
"Femara 2,5 mg apvalkotās tabletes",98-0087,Apvalkotās tabletes,Letrozolum,Jā,Jā,S4,,,,,,
"Mildronāts 0,5 g/5 ml šķīdums injekcijām",98-0259,Šķīdums injekcijām,Meldonium dihydricum,Jā,Jā,S4,,,,,,
Mildronāts 500 mg cietās kapsulas,99-0095,Cietās kapsulas,Meldonium dihydricum,Jā,Jā,S4,,,,,,
Mildronāts-Grindeks 250 mg cietās kapsulas,99-0180,Cietās kapsulas,Meldonium dihydricum,Jā,Jā,S4,,,,,,
Tamoxifen-Teva 20 mg apvalkotās tabletes,99-0770,Apvalkotās tabletes,Tamoxifeni citras,Jā,Jā,S4,,,,,,
Toujeo,EU/1/00/133/001,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo,EU/1/00/133/002,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo,EU/1/00/133/003,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo,EU/1/00/133/004,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo,EU/1/00/133/005,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo,EU/1/00/133/006,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo,EU/1/00/133/007,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo,EU/1/00/133/008,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo Optiset,EU/1/00/133/009,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo Optiset,EU/1/00/133/010,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo Optiset,EU/1/00/133/011,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo Optiset,EU/1/00/133/012,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo Optiset,EU/1/00/133/013,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo Optiset,EU/1/00/133/014,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo Optiset,EU/1/00/133/015,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo Optiset,EU/1/00/133/016,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo,EU/1/00/133/017,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo,EU/1/00/133/018,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo,EU/1/00/133/019,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo,EU/1/00/133/020,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo,EU/1/00/133/021,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo,EU/1/00/133/022,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo,EU/1/00/133/023,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo,EU/1/00/133/024,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo SoloStar,EU/1/00/133/025,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo SoloStar,EU/1/00/133/026,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo SoloStar,EU/1/00/133/027,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo SoloStar,EU/1/00/133/028,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo SoloStar,EU/1/00/133/029,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo SoloStar,EU/1/00/133/030,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo SoloStar,EU/1/00/133/031,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo SoloStar,EU/1/00/133/032,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo SoloStar,EU/1/00/133/033,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo SoloStar,EU/1/00/133/034,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo SoloStar,EU/1/00/133/035,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo SoloStar,EU/1/00/133/036,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo DoubleStar,EU/1/00/133/037,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo DoubleStar,EU/1/00/133/038,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo DoubleStar,EU/1/00/133/039,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo DoubleStar,EU/1/00/133/040,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Toujeo DoubleStar,EU/1/00/133/041,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/001,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/002,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/003,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/004,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/005,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/006,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/007,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/008,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/009,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/010,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/011,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/012,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/013,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/014,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/015,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/016,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/017,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/018,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/019,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/020,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/021,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/022,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/023,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/024,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/025,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/026,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/027,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/028,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus,EU/1/00/134/029,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus SoloStar,EU/1/00/134/030,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus SoloStar,EU/1/00/134/031,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus SoloStar,EU/1/00/134/032,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus SoloStar,EU/1/00/134/033,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus SoloStar,EU/1/00/134/034,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus SoloStar,EU/1/00/134/035,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus SoloStar,EU/1/00/134/036,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
Lantus SoloStar,EU/1/00/134/037,Šķīdums injekcijām,Insulinum glarginum,Jā,Jā,S4,,,,,,
NovoMix 30 Penfill,EU/1/00/142/004,Suspensija injekcijām,Insulinum aspartum,Jā,Jā,S4,,,,,,
NovoMix 30 Penfill,EU/1/00/142/005,Suspensija injekcijām,Insulinum aspartum,Jā,Jā,S4,,,,,,
NovoMix 30 FlexPen,EU/1/00/142/009,Suspensija injekcijām,Insulinum aspartum,Jā,Jā,S4,,,,,,
NovoMix 30 FlexPen,EU/1/00/142/010,Suspensija injekcijām,Insulinum aspartum,Jā,Jā,S4,,,,,,
NovoMix 50 Penfill,EU/1/00/142/011,Suspensija injekcijām,Insulinum aspartum,Jā,Jā,S4,,,,,,
NovoMix 50 Penfill,EU/1/00/142/012,Suspensija injekcijām,Insulinum aspartum,Jā,Jā,S4,,,,,,
NovoMix 50 Penfill,EU/1/00/142/013,Suspensija injekcijām,Insulinum aspartum,Jā,Jā,S4,,,,,,
